county,median_hh_income,median_hh_inc_moe,poverty_count,poverty_count_moe,poverty_rate,poverty_rate_moe,st_abb,year,state_fips,county_fips
Salem,53890,2725,7664,1319,2.00,11.8,NJ,2011,34,033
Somerset,95915,3676,16582,3208,1.00,5.2,NJ,2011,34,035
Sussex,82987,3589,8570,1615,1.10,5.8,NJ,2011,34,037
Union,65178,3135,56959,6811,1.30,10.7,NJ,2011,34,039
Warren,66857,4204,8218,1450,1.40,7.7,NJ,2011,34,041
Atlantic,50881,1856,38245,4662,1.70,14.2,NJ,2012,34,001
Bergen,82001,2853,72647,7178,0.80,8.0,NJ,2012,34,003
Burlington,74285,2311,28776,4006,0.90,6.6,NJ,2012,34,005
Camden,58572,2330,63861,6125,1.20,12.6,NJ,2012,34,007
Cape May,55175,2358,10301,2028,2.20,10.9,NJ,2012,34,009
Cumberland,46491,2185,27144,3443,2.40,18.7,NJ,2012,34,011
Essex,51019,1437,132434,8245,1.10,17.2,NJ,2012,34,013
Gloucester,72248,2781,24404,3215,1.10,8.6,NJ,2012,34,015
Hudson,56087,2196,107096,8697,1.40,16.6,NJ,2012,34,017
Hunterdon,103301,6134,5664,1101,0.90,4.6,NJ,2012,34,019
Mercer,67662,2981,36894,4449,1.30,10.5,NJ,2012,34,021
Middlesex,77044,1871,77061,7148,0.90,9.6,NJ,2012,34,023
Monmouth,81190,1653,45472,5383,0.90,7.3,NJ,2012,34,025
Morris,95236,3488,23017,3680,0.80,4.7,NJ,2012,34,027
Ocean,59022,2038,62772,6293,1.10,11.0,NJ,2012,34,029
Passaic,58073,1947,76698,7109,1.40,15.6,NJ,2012,34,031
Salem,57939,3450,7235,1231,1.90,11.2,NJ,2012,34,033
Somerset,95574,4170,19644,2842,0.90,6.1,NJ,2012,34,035
Sussex,85036,3836,9018,1568,1.10,6.2,NJ,2012,34,037
Union,64698,3254,58609,5916,1.10,10.9,NJ,2012,34,039
Warren,70560,2985,7285,1441,1.40,6.9,NJ,2012,34,041
Atlantic,51668,1949,46281,3953,1.50,17.1,NJ,2013,34,001
Bergen,81615,1241,73719,7112,0.80,8.1,NJ,2013,34,003
Burlington,76868,2228,27192,4269,1.00,6.2,NJ,2013,34,005
Camden,57641,2826,74058,5891,1.20,14.7,NJ,2013,34,007
Cape May,56520,3185,10159,1916,2.00,10.8,NJ,2013,34,009
Cumberland,45850,2421,29231,3709,2.60,20.1,NJ,2013,34,011
Essex,53358,2224,136161,9209,1.20,17.7,NJ,2013,34,013
Gloucester,71137,2632,26775,3581,1.30,9.4,NJ,2013,34,015
Hudson,55699,1652,126653,9611,1.50,19.4,NJ,2013,34,017
Hunterdon,107203,6317,5068,1091,0.90,4.1,NJ,2013,34,019
Mercer,70575,1884,41296,5289,1.50,11.8,NJ,2013,34,021
Middlesex,76515,2075,75437,7189,0.90,9.4,NJ,2013,34,023
Monmouth,83424,2338,48548,5506,0.90,7.8,NJ,2013,34,025
Morris,99950,2240,23871,4213,0.90,4.9,NJ,2013,34,027
Ocean,59888,2084,60439,7755,1.30,10.5,NJ,2013,34,029
Passaic,57426,2605,82368,7341,1.50,16.6,NJ,2013,34,031
Salem,58483,4086,9591,1291,2.00,15.0,NJ,2013,34,033
Somerset,96947,3958,18582,3347,1.00,5.7,NJ,2013,34,035
Sussex,85747,4564,8779,1526,1.10,6.1,NJ,2013,34,037
Union,64272,2596,61990,6558,1.20,11.5,NJ,2013,34,039
Warren,68011,4780,9194,1551,1.50,8.7,NJ,2013,34,041
Atlantic,54208,2501,40761,4675,1.70,15.1,NJ,2014,34,001
Bergen,84309,2864,70557,7271,0.80,7.6,NJ,2014,34,003
Burlington,80479,1801,31331,3849,0.90,7.2,NJ,2014,34,005
Camden,61685,2252,65551,6497,1.30,13.0,NJ,2014,34,007
Cape May,55409,3123,12080,2043,2.20,13.0,NJ,2014,34,009
Cumberland,45438,2359,28287,4073,2.80,19.5,NJ,2014,34,011
Essex,54603,1762,130059,9270,1.20,16.7,NJ,2014,34,013
Gloucester,78983,2145,23626,3661,1.30,8.2,NJ,2014,34,015
Hudson,57720,2168,117129,9481,1.40,17.7,NJ,2014,34,017
Hunterdon,103876,5136,5742,1144,0.90,4.7,NJ,2014,34,019
Mercer,73750,3162,41715,4208,1.20,11.8,NJ,2014,34,021
Middlesex,77330,2533,67331,7436,0.90,8.3,NJ,2014,34,023
Monmouth,87220,3758,51001,5501,0.90,8.2,NJ,2014,34,025
Morris,100511,2080,24782,3817,0.80,5.0,NJ,2014,34,027
Ocean,62937,2376,68832,6331,1.10,11.9,NJ,2014,34,029
Passaic,58030,2303,90553,7311,1.50,18.2,NJ,2014,34,031
Salem,56645,4801,8307,1399,2.20,13.1,NJ,2014,34,033
Somerset,100194,2998,16496,3368,1.00,5.0,NJ,2014,34,035
Sussex,82048,4293,8875,1641,1.10,6.2,NJ,2014,34,037
Union,68172,3025,60679,6684,1.20,11.1,NJ,2014,34,039
