State,county,year,violent_crime,murder,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,frm_30,points_30,frm_15,points_15,median_hh_income,median_hh_inc_moe,poverty_count,poverty_count_moe,poverty_rate,poverty_rate_moe,county_fips,price,Price_Difference
New Jersey,Somerset,2015,1,0,0,0,1,1,0,1,0,0,3.850576923,0.615384615,3.0875,0.576923077,99059,4254,18132,3281,1,5.5,35,396717,-982.17
New Jersey,Somerset,2016,0,0,0,0,0,4,0,4,0,0,3.654038462,0.530769231,2.930769231,0.492307692,104668,3739,17318,2858,0.9,5.2,35,404622.17,7905.17
New Jersey,Somerset,2017,1,0,0,0,1,1,0,1,0,0,3.989807692,0.498076923,3.2725,0.490384615,111838,5072,17396,3118,0.9,5.3,35,410589.08,5966.91
New Jersey,Somerset,2018,0,0,0,0,0,0,0,0,0,0,4.544615385,0.484615385,4.000192308,0.45,119731,5458,16112,3138,1,4.9,35,422836.5,12247.42
New Jersey,Somerset,2019,1,0,0,0,1,1,0,1,0,0,3.935769231,0.521153846,3.391730769,0.475,112722,6545,17409,3313,1,5.4,35,426701.92,3865.42
New Jersey,Sussex,2012,0,0,0,0,0,0,0,0,0,0,3.6575,0.717307692,2.934423077,0.684615385,85036,3836,9018,1568,1.1,6.2,37,214701.67,
New Jersey,Sussex,2013,0,0,0,0,0,0,0,0,0,0,3.975576923,0.732692308,3.100769231,0.7,85747,4564,8779,1526,1.1,6.1,37,223396,8694.33
New Jersey,Sussex,2014,0,0,0,0,0,0,0,0,0,0,4.168867925,0.59245283,3.286037736,0.571698113,82048,4293,8875,1641,1.1,6.2,37,233055.08,9659.08
New Jersey,Sussex,2015,0,0,0,0,0,0,0,0,0,0,3.850576923,0.615384615,3.0875,0.576923077,84431,5085,7958,1617,1.1,5.6,37,233373.92,318.84
New Jersey,Sussex,2016,0,0,0,0,0,0,0,0,0,0,3.654038462,0.530769231,2.930769231,0.492307692,87549,4074,8460,1539,1.1,6,37,230911.5,-2462.42
